{key: "d", midi : "74" note: "D4", time :435339}, 
{key: "o", midi : "67" note: "G3", time :435637}, 
{key: "y", midi : "62" note: "D3", time :436226}, 
{key: "d", midi : "74" note: "D4", time :436478}, 
{key: "i", midi : "65" note: "F3", time :436744}, 
{key: "y", midi : "62" note: "D3", time :437079}, 
{key: "f", midi : "75" note: "D#4", time :437485}, 
{key: "u", midi : "63" note: "D#3", time :437721}, 
{key: "A", midi : "71" note: "B3", time :438121}, 
{key: "G", midi : "78" note: "F#4", time :438361}, 
{key: "R", midi : "59" note: "B2", time :438577}, 
{key: "u", midi : "63" note: "D#3", time :438874}, 
{key: "f", midi : "75" note: "D#4", time :439131}, 
{key: "u", midi : "63" note: "D#3", time :439383}, 
{key: "o", midi : "67" note: "G3", time :439650}, 
