{key: "s", note: "C3", time :0}, 
{key: "d", note: "D3", time :1208}, 
{key: "f", note: "E3", time :1757}, 
{key: "g", note: "F3", time :2216}, 
{key: "h", note: "G3", time :2684}, 
{key: "d", note: "D3", time :71002}, 
{key: "g", note: "F3", time :71304}, 
{key: "j", note: "A3", time :71682}, 
{key: "x", note: "E4", time :71969}, 
{key: "o", note: "G2", time :72291}, 
{key: "d", note: "D3", time :72518}, 
{key: "k", note: "B3", time :72890}, 
{key: "x", note: "E4", time :73207}, 
